Country,Bytes,Formatted Bytes,Requests,Formatted Requests
GT,414357800,414.36 MB,134200,134200
JO,518971900,518.97 MB,119800,119800
MM,594890500,594.89 MB,199200,199200
AW,5865800,5.87 MB,3700,3700
SR,47055800,47.06 MB,7800,7800
SC,20356166100,20.36 GB,5253200,5.25M
IN,123455729800,123.46 GB,31451100,31.45M
NE,1480800,1.48 MB,800,800
MO,743192700,743.19 MB,177900,177900
KH,3274732000,3.27 GB,706200,706200
MN,2886969400,2.89 GB,699900,699900
AS,2276100,2.28 MB,2000,2000
GG,5373100,5.37 MB,3100,3100
GW,560400,560.40 KB,700,700
BB,12995400,13.00 MB,9500,9500
FJ,102323700,102.32 MB,27100,27100
CU,12987600,12.99 MB,5300,5300
TL,125825700,125.83 MB,15700,15700
JM,15448700,15.45 MB,17400,17400
MG,36240400,36.24 MB,15500,15500
ET,496586500,496.59 MB,50600,50600
ZM,319331700,319.33 MB,63400,63400
IR,37925000,37.92 MB,15800,15800
NL,4482842600,4.48 GB,1189900,1.19M
PF,6065800,6.07 MB,2500,2500
MS,3285500,3.29 MB,1900,1900
ML,32502700,32.50 MB,7600,7600
CL,1021266500,1.02 GB,363500,363500
PH,11380349700,11.38 GB,3190200,3.19M
LA,2102712900,2.10 GB,502200,502200
GE,257422600,257.42 MB,106100,106100
LC,14986200,14.99 MB,2500,2500
HU,1235606800,1.24 GB,444000,444000
VU,24436800,24.44 MB,10300,10300
VI,32569500,32.57 MB,6300,6300
NG,166481300,166.48 MB,104700,104700
MK,120193800,120.19 MB,67800,67800
BW,18880300,18.88 MB,7000,7000
GR,280166200,280.17 MB,106800,106800
XK,152069400,152.07 MB,8700,8700
LU,78186400,78.19 MB,30100,30100
FK,1985600,1.99 MB,2400,2400
YE,159733000,159.73 MB,44400,44400
TT,77642500,77.64 MB,35900,35900
LT,4144907200,4.14 GB,1329300,1.33M
BD,4702505800,4.70 GB,1149000,1.15M
BS,21779100,21.78 MB,15600,15600
