Country,Bytes,Formatted Bytes,Requests,Formatted Requests
TH,8076045530,8.08 GB,2463930,2.46M
JP,632846034650,632.85 GB,306857280,306.86M
PH,8314958470,8.31 GB,2364290,2.36M
HK,52528509660,52.53 GB,10832350,10.83M
US,537260373410,537.26 GB,93442330,93.44M
SG,41833631230,41.83 GB,6954020,6.95M
TW,271796879100,271.80 GB,390102230,390.10M
NP,946658180,946.66 MB,259250,259250
SE,3955331300,3.96 GB,1070240,1.07M
BF,39298450,39.30 MB,2350,2350
SB,4810860,4.81 MB,2830,2830
ZA,1064600460,1.06 GB,208900,208900
VI,129134340,129.13 MB,7080,7080
FJ,58900240,58.90 MB,14930,14930
AZ,1425426810,1.43 GB,175370,175370
LV,282942050,282.94 MB,89240,89240
AR,2759868090,2.76 GB,466910,466910
GR,827319330,827.32 MB,175440,175440
UA,292398700,292.40 MB,103100,103100
DE,18721030460,18.72 GB,2637030,2.64M
EE,149060070,149.06 MB,49710,49710
KI,561120,561.12 KB,520,520
MN,1927225120,1.93 GB,482660,482660
AL,127786390,127.79 MB,21340,21340
MK,234895280,234.90 MB,31880,31880
IQ,2142634960,2.14 GB,522100,522100
UZ,1657949370,1.66 GB,395770,395770
PW,31709940,31.71 MB,5460,5460
TZ,120333240,120.33 MB,34310,34310
DJ,1722200,1.72 MB,630,630
DZ,703811290,703.81 MB,265920,265920
BJ,34448540,34.45 MB,4290,4290
RS,1141966960,1.14 GB,161760,161760
UG,93094170,93.09 MB,29950,29950
RW,174391830,174.39 MB,24800,24800
VE,1175098930,1.18 GB,864480,864480
AD,43440150,43.44 MB,7520,7520
XK,160113420,160.11 MB,10240,10240
SK,310751520,310.75 MB,101790,101790
ET,196409600,196.41 MB,42050,42050
BH,199309420,199.31 MB,26810,26810
PL,2569922330,2.57 GB,766110,766110
ES,2547019000,2.55 GB,712400,712400
TD,5791850,5.79 MB,1170,1170
CU,10888570,10.89 MB,4640,4640
CO,593088840,593.09 MB,199750,199750
CI,33325410,33.33 MB,12390,12390
ML,5650900,5.65 MB,2970,2970
BR,23705204520,23.71 GB,3967180,3.97M
DK,1709956240,1.71 GB,348280,348280
KG,678563230,678.56 MB,112320,112320
IM,33028460,33.03 MB,7280,7280
AO,60888760,60.89 MB,13810,13810
GG,124500,124.50 KB,170,170
SY,10282810,10.28 MB,4080,4080
BD,4504596310,4.50 GB,659840,659840
CH,1182887090,1.18 GB,224880,224880
MG,36896290,36.90 MB,10540,10540
NC,937330,937.33 KB,810,810
AF,44425860,44.43 MB,7170,7170
VU,32030060,32.03 MB,7720,7720
LT,12098588100,12.10 GB,2120180,2.12M
CL,708847430,708.85 MB,159390,159390
KH,3705701800,3.71 GB,791610,791610
UY,201156860,201.16 MB,36570,36570
BO,450179420,450.18 MB,93450,93450
MQ,10062020,10.06 MB,1710,1710
MO,1134634540,1.13 GB,279880,279880
KW,824800610,824.80 MB,83150,83150
TG,22760740,22.76 MB,8270,8270
IE,2975435460,2.98 GB,602270,602270
BY,143306230,143.31 MB,43000,43000
BB,18501080,18.50 MB,5010,5010
SV,172600240,172.60 MB,28280,28280
NA,24670430,24.67 MB,12160,12160
NO,807183480,807.18 MB,301380,301380
GM,128423470,128.42 MB,85930,85930
AT,866521670,866.52 MB,223430,223430
ZM,157185040,157.19 MB,70460,70460
CM,10398960,10.40 MB,7610,7610
NE,857010,857.01 KB,700,700
CA,13358557330,13.36 GB,4038120,4.04M
FO,71906960,71.91 MB,5590,5590
PE,713761400,713.76 MB,183300,183300
BM,3914270,3.91 MB,1090,1090
MR,4065950,4.07 MB,1860,1860
GY,15056360,15.06 MB,6620,6620
MU,44161530,44.16 MB,18830,18830
TJ,35578980,35.58 MB,12730,12730
SZ,5081500,5.08 MB,1330,1330
MZ,98830440,98.83 MB,11160,11160
PF,7475880,7.48 MB,2190,2190
