Domain Name,Plan,Zone ID
aboutcoupang.tw,Enterprise Website,7d4a1e9acb7cfd2285e3494d0d51d3fa
cmapi.coupang.com,Enterprise Website,2d2b409ac15216d05407cb2a35b8cbc9
coupa.ng,Enterprise Website,e4e90a478bd59fd109451f4fa1bcded2
coupang.com,Enterprise Website,9f298a37f22afc2a9dd6d6a90f043ad4
coupangcorp.com,Enterprise Website,b959a0af7e1b10f63bb191d05a8034f6
coupangeats.com,Enterprise Website,acc53312d880dca1c83c7938281abfb1
coupangfinancial.com,Enterprise Website,af53edde284d7a35b2ad05e355763d2b
coupang.jobs,Enterprise Website,d0fda946fbde3788110b53263cb04cbd
coupang.kr,Enterprise Website,329eb2b6704f40b127f94f3baf1e3ad7
coupangls.com,Enterprise Website,a0c9d773a004adebf7fb6be35a1e3916
coupangpay.com,Enterprise Website,ead5f9571bbfd34d5d9b2f05209abd00
coupangplay.com,Enterprise Website,2d31fb504321a965f77dcc6d3816852b
coupangpos.com,Enterprise Website,d9140787a3c211b4976c119f5d7965f8
coupangstreaming.com,Enterprise Website,fbab553c31652e53d28c9f87320f798a
cp-redteam.com,Enterprise Website,314d27529f1b5d9ccf9bebc38e68a1b8
ddnayo.com,Enterprise Website,f00c8f33c4aa5419a0c50c05bd7e9f05
devcoupangstreaming.com,Enterprise Website,241750d06755d7d70b9016c2e5009ecb
mugpos.com,Enterprise Website,03365665ab121a2e5ee7239fa9964e9d
tw.coupang.com,Enterprise Website,49fe9c55a9da6b9f3bdb9badf3031bb9
