Country,Bytes,Formatted Bytes,Requests,Formatted Requests
TH,9993195410,9.99 GB,3132870,3.13M
IL,642919700,642.92 MB,155440,155440
JP,708990024660,708.99 GB,301507280,301.51M
FR,11590821090,11.59 GB,1470140,1.47M
PH,10492028870,10.49 GB,3182850,3.18M
HK,55824532230,55.82 GB,11440620,11.44M
SG,27351991940,27.35 GB,12086200,12.09M
TW,397240615650,397.24 GB,320250990,320.25M
NP,1011642810,1.01 GB,254650,254650
SE,2503183340,2.50 GB,611720,611720
BF,17574590,17.57 MB,4270,4270
SB,1980630,1.98 MB,1170,1170
ZA,657711940,657.71 MB,164580,164580
FJ,71880100,71.88 MB,26960,26960
AZ,603896530,603.90 MB,77060,77060
LV,317235940,317.24 MB,183150,183150
AR,1585552500,1.59 GB,543460,543460
GR,329825250,329.83 MB,72800,72800
UA,111407040,111.41 MB,39540,39540
DE,12162050710,12.16 GB,2429760,2.43M
EE,277986930,277.99 MB,73750,73750
KI,88090,88.09 KB,110,110
MN,2517754680,2.52 GB,733240,733240
AL,177540150,177.54 MB,35180,35180
MK,195568990,195.57 MB,38970,38970
IQ,1396923580,1.40 GB,437450,437450
UZ,1861770920,1.86 GB,474240,474240
PW,4947300,4.95 MB,2790,2790
TZ,171157140,171.16 MB,43890,43890
DZ,759935210,759.94 MB,151510,151510
BJ,16509760,16.51 MB,3720,3720
RS,811637870,811.64 MB,156610,156610
UG,103859440,103.86 MB,28870,28870
RW,103506450,103.51 MB,20470,20470
VE,1293693860,1.29 GB,919130,919130
GL,5958160,5.96 MB,3200,3200
XK,43606700,43.61 MB,5990,5990
AD,30226250,30.23 MB,4740,4740
SK,314097480,314.10 MB,108370,108370
ET,251692330,251.69 MB,33270,33270
BH,95729290,95.73 MB,25340,25340
PL,1667699290,1.67 GB,921960,921960
ES,1864245420,1.86 GB,898580,898580
TD,325060,325.06 KB,440,440
CU,67496520,67.50 MB,28980,28980
CO,637892890,637.89 MB,315370,315370
CI,54122060,54.12 MB,15290,15290
ML,29439500,29.44 MB,5240,5240
BR,7035131360,7.04 GB,2656110,2.66M
DK,1237972330,1.24 GB,229190,229190
KG,530282000,530.28 MB,114540,114540
IM,7707050,7.71 MB,3580,3580
AO,18259780,18.26 MB,10490,10490
GG,844020,844.02 KB,1250,1250
SR,20266790,20.27 MB,10980,10980
SY,6194610,6.19 MB,2520,2520
BD,3056339870,3.06 GB,485100,485100
CH,608623080,608.62 MB,267650,267650
MG,38628960,38.63 MB,14230,14230
NC,8715450,8.72 MB,2270,2270
AF,28530580,28.53 MB,5790,5790
VU,52780070,52.78 MB,23300,23300
LT,729646050,729.65 MB,249370,249370
CL,425513350,425.51 MB,173720,173720
KH,3120747490,3.12 GB,728720,728720
UY,34558240,34.56 MB,31760,31760
BO,247851740,247.85 MB,84410,84410
MO,1064626230,1.06 GB,254830,254830
